id,IDTechnology,NormalizedId,PBGID,CivilizationAbbreviation,CivilizationSlug,CivilizationAttributeName,ObjectId,ObjectName,ObjectNameType,ObjectDescription,BaseId,Name,AttributeName,Description,AvaiableAgeId,Hitpoints,Food,Gold,Wood,Stone,AgeId,VizierPoint,OliveOil,Total,Supply,Armor,Weapon,Aoe4AnalyticsGameVersion,Aoe4ReplayApiVersion,Aoe4ReplayApiBuild,Aoe4WorldAppVersion,Aoe4WorldAppDataChecksum,Aoe4WorldMajorVersion,Aoe4WorldDataRepositoryGitCommitHash
28,27,,190779,ab,abbasid,abbasid,elite-army-tactics-4,Elite Army Tactics,technology,Training elite infantry leads to improved prowess in battle. Melee Infantry gain +20% damage and +4 melee armor.,elite-army-tactics,Elite Army Tactics,upgrade_manatarms_elite_army_tactics,Training elite infantry leads to improved prowess in battle. Melee Infantry gain +20% damage and +4 melee armor.,4,,500,1000,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
29,28,,196883,ab,abbasid,abbasid,explosives-4,Explosives,technology,Increase the damage of Incendiary Ships by +40%.,explosives,Explosives,upgrade_naval_explosives,Increase the damage of Incendiary Ships by +40%.,4,,150,350,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
30,29,,2033745,ab,abbasid,abbasid,extended-lines-2,Extended Lines,technology,Increase the gathering rate of Fishing Ships by +15% and carry capacity by +10.,extended-lines,Extended Lines,upgrade_econ_extended_lines,Increase the gathering rate of Fishing Ships by +15% and carry capacity by +10.,2,,0,175,75,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
31,30,,2101642,ab,abbasid,abbasid,extra-hammocks-3,Extra Hammocks,technology,Increases the number of arrows fired by Archer Ships by +1.,extra-hammocks,Extra Hammocks,upgrade_naval_extra_hammocks,Increases the number of arrows fired by Archer Ships by +1.,3,,0,250,100,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
32,31,,2108050,ab,abbasid,abbasid,fertile-crescent-2,Fertile Crescent,technology,Reduce the cost of Economy buildings and Houses by 35%.,fertile-crescent,Fertile Crescent,upgrade_econ_fertile_crescent_abb,Reduce the cost of Economy buildings and Houses by 35%.,2,,25,75,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
33,32,,171292,ab,abbasid,abbasid,fertilization-3,Fertilization,technology,Increase Villagers' gathering rate for Food by 10%. Does not apply to hunted meat.,fertilization,Fertilization,upgrade_econ_resource_food_harvest_rate_3,Increase Villagers' gathering rate for Food by 10%. Does not apply to hunted meat.,3,,0,250,100,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
34,33,,188116,ab,abbasid,abbasid,fitted-leatherwork-2,Fitted Leatherwork,technology,Increase the melee armor of all non-siege units by +1.,fitted-leatherwork,Fitted Leatherwork,upgrade_melee_armor_i,Increase the melee armor of all non-siege units by +1.,2,,50,125,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
35,34,,171999,ab,abbasid,abbasid,forestry-1,Forestry,technology,Double the rate at which Villagers chop down trees.,forestry,Forestry,upgrade_econ_resource_wood_fell_rate_1,Double the rate at which Villagers chop down trees.,1,,25,50,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
36,35,,127331,ab,abbasid,abbasid,fortify-outpost-2,Fortify Outpost,technology,Add +1000 health and +5 fire armor to this Outpost.,fortify-outpost,Fortify Outpost,upgrade_outpost_stone,Add +1000 health and +5 fire armor to this Outpost.,2,,0,0,0,100,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
37,36,,199986,ab,abbasid,abbasid,fresh-foodstuffs-2,Fresh Foodstuffs,technology,Reduce the cost to produce Villagers by -35%.,fresh-foodstuffs,Fresh Foodstuffs,upgrade_econ_improved_carry_capacity_abb,Reduce the cost to produce Villagers by -35%.,2,,50,75,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
38,37,,127863,ab,abbasid,abbasid,geometry-4,Geometry,technology,Increase damage of Trebuchets by +20%.,geometry,Geometry,upgrade_siege_mathematics,Increase damage of Trebuchets by +20%.,4,,0,225,100,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
39,38,,201743,ab,abbasid,abbasid,grand-bazaar-3,Grand Bazaar,technology,Traders and Trade Ships also return with a secondary resource. This resource is 25% the base Gold value and is set at the market.,grand-bazaar,Grand Bazaar,upgrade_trade_commodity_trade_abb,Traders and Trade Ships also return with a secondary resource. This resource is 25% the base Gold value and is set at the market.,3,,50,125,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
40,39,,191268,ab,abbasid,abbasid,greased-axles-3,Greased Axles,technology,Increase the movement speed of siege engines by +15%.,greased-axles,Greased Axles,upgrade_siege_weapon_speed,Increase the movement speed of siege engines by +15%.,3,,0,350,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
41,40,,2101720,ab,abbasid,abbasid,heated-shot-4,Heated Shot,technology,"Archer Ship arrows light enemy Ships on fire, dealing damage over time.",heated-shot,Heated Shot,upgrade_naval_heated_shot,"Archer Ship arrows light enemy Ships on fire, dealing damage over time.",4,,0,500,200,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
42,41,,129401,ab,abbasid,abbasid,herbal-medicine-3,Herbal Medicine,technology,Increase the healing rate of religious units by +60%.,herbal-medicine,Herbal Medicine,upgrade_unit_religious_herbal_medicine_4,Increase the healing rate of religious units by +60%.,3,,0,275,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
43,42,,128049,ab,abbasid,abbasid,horticulture-2,Horticulture,technology,Increase Villagers' gathering rate for Food by 10%. Does not apply to hunted meat.,horticulture,Horticulture,upgrade_econ_resource_food_harvest_rate_2,Increase Villagers' gathering rate for Food by 10%. Does not apply to hunted meat.,2,,0,100,50,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
44,43,,1622182,ab,abbasid,abbasid,improved-processing-4,Improved Processing,technology,Villagers drop off +8% more resources.,improved-processing,Improved Processing,upgrade_econ_improved_processing_abb,Villagers drop off +8% more resources.,4,,0,700,300,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
45,44,,2101633,ab,abbasid,abbasid,incendiaries-3,Incendiaries,technology,Incendiary Ships gain +20% explosion range.,incendiaries,Incendiaries,upgrade_naval_incendiaries,Incendiary Ships gain +20% explosion range.,3,,100,250,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
46,45,,127838,ab,abbasid,abbasid,incendiary-arrows-4,Incendiary Arrows,technology,Flammable munitions grant non-gunpowder ranged units a siege arrow or bolt when attacking buildings and increase their damage by +20%.,incendiary-arrows,Incendiary Arrows,upgrade_ranged_incendiary,Flammable munitions grant non-gunpowder ranged units a siege arrow or bolt when attacking buildings and increase their damage by +20%.,4,,0,1000,500,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
47,46,,188121,ab,abbasid,abbasid,insulated-helm-3,Insulated Helm,technology,Increase the melee armor of all non-siege units by +1.,insulated-helm,Insulated Helm,upgrade_melee_armor_ii,Increase the melee armor of all non-siege units by +1.,3,,100,250,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
48,47,,188266,ab,abbasid,abbasid,iron-undermesh-2,Iron Undermesh,technology,Increase the ranged armor of all non-siege units by +1.,iron-undermesh,Iron Undermesh,upgrade_ranged_armor_i,Increase the ranged armor of all non-siege units by +1.,2,,0,125,50,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
49,48,,2117424,ab,abbasid,abbasid,lightweight-beams-4,Lightweight Beams,technology,Increase Battering Ram attack speed by +20% and reduce their field construction time by -50%.,lightweight-beams,Lightweight Beams,upgrade_ram_scaling,Increase Battering Ram attack speed by +20% and reduce their field construction time by -50%.,4,,0,400,300,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
50,49,,171836,ab,abbasid,abbasid,lumber-preservation-3,Lumber Preservation,technology,Increase Villagers' gathering rate for Wood by 15%.,lumber-preservation,Lumber Preservation,upgrade_econ_resource_wood_harvest_rate_3,Increase Villagers' gathering rate for Wood by 15%.,3,,100,250,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
51,50,,188122,ab,abbasid,abbasid,master-smiths-4,Master Smiths,technology,Increase the melee armor of all non-siege units by +1.,master-smiths,Master Smiths,upgrade_melee_armor_iii,Increase the melee armor of all non-siege units by +1.,4,,150,350,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
52,51,,201794,ab,abbasid,abbasid,medical-centers-3,Medical Centers,technology,Town Centers and Keeps heal nearby units for +2 health every 1 second.,medical-centers,Medical Centers,upgrade_cul_medical_centers_abb,Town Centers and Keeps heal nearby units for +2 health every 1 second.,3,,100,250,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
53,52,,128454,ab,abbasid,abbasid,military-academy-3,Military Academy,technology,"Increase the production speed of infantry, cavalry, siege, and transport units at buildings by 33%.
Does not affect religious units or other support units.",military-academy,Military Academy,upgrade_tech_military_academy,"Increase the production speed of infantry, cavalry, siege, and transport units at buildings by 33%.
Does not affect religious units or other support units.",3,,0,250,100,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
54,53,,2033117,ab,abbasid,abbasid,military-wing-1,Military Wing,technology,"Constructs the Military Wing. Upon completion, grants 2 Spearmen & 2 Archers (Age II), 2 Camel Riders (Age III), or 3 Handcannoneers (Age IV).
Unlocks:
•Boot Camp (Age II)
•Composite Bows (Age III)
•Camel Support (Age IV)",military-wing,Military Wing,upgrade_add_military_wing,"Constructs the Military Wing. Upon completion, grants 2 Spearmen & 2 Archers (Age II), 2 Camel Riders (Age III), or 3 Handcannoneers (Age IV).
Unlocks:
•Boot Camp (Age II)
•Composite Bows (Age III)
•Camel Support (Age IV)",1,,400,200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
55,54,,2076426,ab,abbasid,abbasid,naval-arrowslits-2,Naval Arrowslits,technology,Add a defensive arrowslit to this Dock which only attacks ships.,naval-arrowslits,Naval Arrowslits,upgrade_naval_arrowslits,Add a defensive arrowslit to this Dock which only attacks ships.,2,,0,0,75,125,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
56,55,,200371,ab,abbasid,abbasid,phalanx-2,Phalanx,technology,Increase the attack range of Spearmen by +100%.,phalanx,Phalanx,upgrade_camel_archer_comp_bow_abb,Increase the attack range of Spearmen by +100%.,2,,50,125,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
57,56,,129403,ab,abbasid,abbasid,piety-4,Piety,technology,Increase the health of religious units by +40.,piety,Piety,upgrade_unit_religious_piety_4,Increase the health of religious units by +40.,4,,0,325,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
58,57,,188271,ab,abbasid,abbasid,platecutter-point-4,Platecutter Point,technology,Increase the ranged damage of all arrows and bolts by +1.,platecutter-point,Platecutter Point,upgrade_ranged_damage_iii,Increase the ranged damage of all arrows and bolts by +1.,4,,0,350,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
59,58,,171293,ab,abbasid,abbasid,precision-cross-breeding-4,Precision Cross-Breeding,technology,Increase Villagers' gathering rate for Food by 10%. Does not apply to hunted meat.,precision-cross-breeding,Precision Cross-Breeding,upgrade_econ_resource_food_harvest_rate_4,Increase Villagers' gathering rate for Food by 10%. Does not apply to hunted meat.,4,,0,500,250,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
60,59,,201795,ab,abbasid,abbasid,preservation-of-knowledge-2,Preservation of Knowledge,technology,Reduce the cost of all technology and Age advancements by -20%.,preservation-of-knowledge,Preservation of Knowledge,upgrade_cul_cheaper_research_abb,Reduce the cost of all technology and Age advancements by -20%.,2,,0,75,25,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
61,60,,127933,ab,abbasid,abbasid,professional-scouts-2,Professional Scouts,technology,"Scouts gain the ability to carry animal carcasses and +100% damage against wild animals.
Scouts move -35% slower while carrying and cannot pick up Boar.",professional-scouts,Professional Scouts,upgrade_scout_forester,"Scouts gain the ability to carry animal carcasses and +100% damage against wild animals.
Scouts move -35% slower while carrying and cannot pick up Boar.",2,,0,275,75,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
62,61,,201793,ab,abbasid,abbasid,proselytization-4,Proselytization,technology,"Imams can convert units without holding a Relic, but can only target a single unit.",proselytization,Proselytization,upgrade_cul_conversion_invuln_abb,"Imams can convert units without holding a Relic, but can only target a single unit.",4,,150,350,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
63,62,,9000094,ab,abbasid,abbasid,public-libraries-4,Public Libraries,technology,Villagers and Traders gain +2 health per economic upgrade.,public-libraries,Public Libraries,upgrade_cul_public_libraries_abb,Villagers and Traders gain +2 health per economic upgrade.,4,,200,500,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
64,63,,127938,ab,abbasid,abbasid,roller-shutter-triggers-4,Roller Shutter Triggers,technology,Increases Springald attack speed by +25% and grants +10% Ranged Resistance.,roller-shutter-triggers,Roller Shutter Triggers,upgrade_siege_roller_trigger,Increases Springald attack speed by +25% and grants +10% Ranged Resistance.,4,,0,350,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
65,64,,9000617,ab,abbasid,abbasid,serpentine-powder-4,Serpentine Powder,technology,"With new gunpowder, Handcannoneers gain +8 damage against melee infantry and gain a brief increase to their movement speed after firing their weapon.",serpentine-powder,Serpentine Powder,upgrade_ranged_leadshot,"With new gunpowder, Handcannoneers gain +8 damage against melee infantry and gain a brief increase to their movement speed after firing their weapon.",4,,300,500,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
