id,IDEventType,EventKey,EventCategory,EventSubcategory,PBGID,CivilizationAttributeName,Aoe4AnalyticsGameVersion,Aoe4ReplayApiVersion,Aoe4ReplayApiBuild,Aoe4WorldAppVersion,Aoe4WorldAppDataChecksum,Aoe4WorldMajorVersion,Aoe4WorldDataRepositoryGitCommitHash
16,15,Action,feudalAge,,,english,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
17,16,Action,feudalAge,,,french,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
18,17,Action,feudalAge,,,french_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
19,18,Action,feudalAge,,,hre_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
20,19,Action,feudalAge,,,japanese,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
21,20,Action,feudalAge,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
22,21,Action,feudalAge,,,sultanate,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
23,22,Action,imperialAge,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
24,23,Action,imperialAge,,,abbasid_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
25,24,Action,imperialAge,,,byzantine,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
26,25,Action,imperialAge,,,chinese_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
27,26,Action,imperialAge,,,english,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
28,27,Action,imperialAge,,,french,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
29,28,Action,imperialAge,,,french_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
30,29,Action,imperialAge,,,hre_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
31,30,Action,imperialAge,,,japanese,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
32,31,Action,imperialAge,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
33,32,Action,imperialAge,,,sultanate,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
34,33,Action,monkCaptureHolySite,,,chinese_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
35,34,Action,monkCaptureHolySite,,,french,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
36,35,Action,monkCaptureHolySite,,,japanese,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
37,36,Action,monkCaptureHolySite,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
38,37,Action,monkCaptureHolySite,,,sultanate,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
39,38,Action,monkRemoveRelic,,,chinese_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
40,39,Action,monkRemoveRelic,,,japanese,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
41,40,Action,monkRemoveRelic,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
42,41,Action,monkRemoveRelic,,,sultanate,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
43,42,Action,monkStatetreeDepositRelic,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
44,43,Action,monkStatetreeDepositRelic,,,byzantine,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
45,44,Action,monkStatetreeDepositRelic,,,chinese_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
46,45,Action,monkStatetreeDepositRelic,,,french,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
47,46,Action,monkStatetreeDepositRelic,,,hre_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
48,47,Action,monkStatetreeDepositRelic,,,japanese,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
49,48,Action,monkStatetreeDepositRelic,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
50,49,Action,monkStatetreeDepositRelic,,,sultanate,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
51,50,Action,monkStatetreeDropRelic,,,japanese,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
52,51,Action,pickupRelic,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
53,52,Action,pickupRelic,,,byzantine,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
54,53,Action,pickupRelic,,,chinese_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
55,54,Action,pickupRelic,,,french,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
56,55,Action,pickupRelic,,,hre_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
57,56,Action,pickupRelic,,,japanese,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
58,57,Action,pickupRelic,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
59,58,Action,pickupRelic,,,sultanate,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
60,59,Action,upgradeAbbeyKingCastle1,,,english,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
61,60,Action,upgradeAbbeyKingImp2,,,english,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
62,61,Action,upgradeAddCultureWing,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
63,62,Action,upgradeAddCultureWingDarkAAbbHa01,,,abbasid_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
64,63,Action,upgradeAddCultureWingFeudal,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
65,64,Action,upgradeAddEconomyWing,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
66,65,Action,upgradeAddEconomyWingCastleAAbbHa01,,,abbasid_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
67,66,Action,upgradeAddEconomyWingFeudal,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
68,67,Action,upgradeAddMilitaryWingCastle,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
69,68,Action,upgradeAddMilitaryWingFeudal,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
70,69,Action,upgradeAddMilitaryWingFeudalAAbbHa01,,,abbasid_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
71,70,Action,upgradeAddTradeWingCastle,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
72,71,Action,upgradeAddTradeWingFeudal,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
73,72,Action,upgradeAge2KeepTownCenterSul,,,sultanate,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
74,73,Action,upgradeAge2ScholarMilitaryProductionSul,,,sultanate,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
75,74,Action,upgradeAge3WarElephantEliteSul,,,sultanate,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
76,75,Action,upgradeArmorCladEng,,,english,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
77,76,Action,upgradeBuildingFireArmorHre,,,hre_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
78,77,Action,upgradeCamelArcherCompBowAbb,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
79,78,Action,upgradeCamelArmorAbb,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
80,79,Action,upgradeCamelSpeedBoostAbb,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
81,80,Action,upgradeCapitalTier1Jpn,,,japanese,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
82,81,Action,upgradeCapitalTier2Jpn,,,japanese,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
83,82,Action,upgradeCapitalTier3Jpn,,,japanese,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
84,83,Action,upgradeCavalryBloodlineFre,,,french,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
85,84,Action,upgradeCavalryBloodlineFre,,,french_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
86,85,Action,upgradeCavalryCantledSaddleFre,,,french,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
87,86,Action,upgradeCavalryCantledSaddleFre,,,french_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
88,87,Action,upgradeCavalryChivalryFre,,,french,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
89,88,Action,upgradeCavalryChivalryFre,,,french_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
90,89,Action,upgradeCulCheaperResearchAbb,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
91,90,Action,upgradeCulConversionInvulnAbb,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
92,91,Action,upgradeCulMedicalCentersAbb,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
93,92,Action,upgradeCulPublicLibrariesAbb,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
94,93,Action,upgradeDaliHorsesChiHa01,,,chinese_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
95,94,Action,upgradeDragonFireHreHa01,,,hre_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
96,95,Action,upgradeEconAgricultureAbb,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
97,96,Action,upgradeEconFertileCrescentAbb,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
98,97,Action,upgradeEconImprovedCarryCapacityAbb,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
99,98,Action,upgradeEconImprovedProcessingAbb,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
100,99,Action,upgradeEconResourceFoodHarvestRate2,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
101,100,Action,upgradeEconResourceFoodHarvestRate2,,,abbasid_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
102,101,Action,upgradeEconResourceFoodHarvestRate2,,,chinese_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
103,102,Action,upgradeEconResourceFoodHarvestRate2,,,english,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
104,103,Action,upgradeEconResourceFoodHarvestRate2,,,french,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
105,104,Action,upgradeEconResourceFoodHarvestRate2,,,french_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
106,105,Action,upgradeEconResourceFoodHarvestRate2,,,hre_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
107,106,Action,upgradeEconResourceFoodHarvestRate2,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
108,107,Action,upgradeEconResourceFoodHarvestRate2Byz,,,byzantine,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
109,108,Action,upgradeEconResourceFoodHarvestRate2ImprovedMon,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
110,109,Action,upgradeEconResourceFoodHarvestRate2Sul,,,sultanate,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
111,110,Action,upgradeEconResourceFoodHarvestRate3,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
112,111,Action,upgradeEconResourceFoodHarvestRate3,,,abbasid_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
113,112,Action,upgradeEconResourceFoodHarvestRate3,,,chinese_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
114,113,Action,upgradeEconResourceFoodHarvestRate3,,,english,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
115,114,Action,upgradeEconResourceFoodHarvestRate3,,,french,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
116,115,Action,upgradeEconResourceFoodHarvestRate3,,,french_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
117,116,Action,upgradeEconResourceFoodHarvestRate3,,,hre_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
118,117,Action,upgradeEconResourceFoodHarvestRate3,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
119,118,Action,upgradeEconResourceFoodHarvestRate3Byz,,,byzantine,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
120,119,Action,upgradeEconResourceFoodHarvestRate3ImprovedMon,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
121,120,Action,upgradeEconResourceFoodHarvestRate3Sul,,,sultanate,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
122,121,Action,upgradeEconResourceFoodHarvestRate4,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
123,122,Action,upgradeEconResourceFoodHarvestRate4,,,abbasid_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
124,123,Action,upgradeEconResourceFoodHarvestRate4,,,chinese_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
125,124,Action,upgradeEconResourceFoodHarvestRate4,,,english,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
126,125,Action,upgradeEconResourceFoodHarvestRate4,,,french,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
127,126,Action,upgradeEconResourceFoodHarvestRate4,,,hre_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
128,127,Action,upgradeEconResourceFoodHarvestRate4,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
129,128,Action,upgradeEconResourceFoodHarvestRate4Byz,,,byzantine,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
130,129,Action,upgradeEconResourceFoodHarvestRate4ImprovedMon,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
131,130,Action,upgradeEconResourceFoodHarvestRate4Sul,,,sultanate,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
132,131,Action,upgradeEconResourceGoldHarvestRate2,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
133,132,Action,upgradeEconResourceGoldHarvestRate2,,,abbasid_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
134,133,Action,upgradeEconResourceGoldHarvestRate2,,,byzantine,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
135,134,Action,upgradeEconResourceGoldHarvestRate2,,,chinese_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
136,135,Action,upgradeEconResourceGoldHarvestRate2,,,english,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
137,136,Action,upgradeEconResourceGoldHarvestRate2,,,french,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
138,137,Action,upgradeEconResourceGoldHarvestRate2,,,french_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
139,138,Action,upgradeEconResourceGoldHarvestRate2,,,hre_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
140,139,Action,upgradeEconResourceGoldHarvestRate2ImprovedMon,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
141,140,Action,upgradeEconResourceGoldHarvestRate2Jpn,,,japanese,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
142,141,Action,upgradeEconResourceGoldHarvestRate2Mon,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
143,142,Action,upgradeEconResourceGoldHarvestRate2Sul,,,sultanate,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
144,143,Action,upgradeEconResourceGoldHarvestRate3,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
145,144,Action,upgradeEconResourceGoldHarvestRate3,,,abbasid_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
146,145,Action,upgradeEconResourceGoldHarvestRate3,,,byzantine,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
147,146,Action,upgradeEconResourceGoldHarvestRate3,,,chinese_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
148,147,Action,upgradeEconResourceGoldHarvestRate3,,,english,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
149,148,Action,upgradeEconResourceGoldHarvestRate3,,,french,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
150,149,Action,upgradeEconResourceGoldHarvestRate3,,,hre_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
151,150,Action,upgradeEconResourceGoldHarvestRate3Jpn,,,japanese,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
152,151,Action,upgradeEconResourceGoldHarvestRate3Mon,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
153,152,Action,upgradeEconResourceGoldHarvestRate3Sul,,,sultanate,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
154,153,Action,upgradeEconResourceGoldHarvestRate4,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
155,154,Action,upgradeEconResourceGoldHarvestRate4,,,abbasid_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
156,155,Action,upgradeEconResourceGoldHarvestRate4,,,chinese_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
157,156,Action,upgradeEconResourceGoldHarvestRate4,,,english,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
158,157,Action,upgradeEconResourceGoldHarvestRate4,,,french,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
159,158,Action,upgradeEconResourceGoldHarvestRate4,,,hre_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
160,159,Action,upgradeEconResourceGoldHarvestRate4Jpn,,,japanese,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
161,160,Action,upgradeEconResourceGoldHarvestRate4Mon,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
162,161,Action,upgradeEconResourceGoldHarvestRate4Sul,,,sultanate,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
163,162,Action,upgradeEconResourceWoodFellRate1,,,abbasid,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
164,163,Action,upgradeEconResourceWoodFellRate1,,,byzantine,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
165,164,Action,upgradeEconResourceWoodFellRate1,,,chinese_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
166,165,Action,upgradeEconResourceWoodFellRate1,,,english,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
167,166,Action,upgradeEconResourceWoodFellRate1,,,french,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
168,167,Action,upgradeEconResourceWoodFellRate1,,,french_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
169,168,Action,upgradeEconResourceWoodFellRate1,,,hre_ha_01,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
170,169,Action,upgradeEconResourceWoodFellRate1ImprovedMon,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
171,170,Action,upgradeEconResourceWoodFellRate1Jpn,,,japanese,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
172,171,Action,upgradeEconResourceWoodFellRate1KuraJpn,,,japanese,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
173,172,Action,upgradeEconResourceWoodFellRate1Mon,,,mongol,v4.0.0-build:2638,,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
