id,IDBuilding,NormalizedId,PBGID,CivilizationAbbreviation,CivilizationSlug,CivilizationAttributeName,ObjectId,ObjectName,ObjectNameType,ObjectDescription,BaseId,Name,AttributeName,Description,AvaiableAgeId,Hitpoints,Food,Gold,Wood,Stone,AgeId,VizierPoint,OliveOil,Total,Supply,Armor,Weapon,Aoe4AnalyticsGameVersion,Aoe4ReplayApiVersion,Aoe4ReplayApiBuild,Aoe4WorldAppVersion,Aoe4WorldAppDataChecksum,Aoe4WorldMajorVersion,Aoe4WorldDataRepositoryGitCommitHash
16,15,,199623,ab,abbasid,abbasid,outpost-1,Outpost,building,Offers extensive line of sight and detects units stealth or disguises. Can be upgraded with weaponry and fortifications. Attacks while garrisoned.,outpost,Outpost,building_defense_outpost_control_abb,Offers extensive line of sight and detects units stealth or disguises. Can be upgraded with weaponry and fortifications. Attacks while garrisoned.,1,750,0,0,100,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
17,16,,199625,ab,abbasid,abbasid,palisade-gate-1,Palisade Gate,building,Light defensive gate. Must be built on a Palisade Wall segment.,palisade-gate,Palisade Gate,building_defense_palisade_gate_abb,Light defensive gate. Must be built on a Palisade Wall segment.,1,1250,0,0,25,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
18,17,,199626,ab,abbasid,abbasid,palisade-wall-1,Palisade Wall,building,"Light defensive wall for quickly fortifying an area.
Initially costs 21 Wood, with each additional section costing 7 Wood.",palisade-wall,Palisade Wall,building_defense_palisade_abb,"Light defensive wall for quickly fortifying an area.
Initially costs 21 Wood, with each additional section costing 7 Wood.",1,1250,0,0,7,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
19,18,,199648,ab,abbasid,abbasid,prayer-hall-of-uqba-4,Prayer Hall of Uqba,building,Build and defend a Wonder to secure victory. Rival civilizations will be aware of its construction and seek to destroy it.,prayer-hall-of-uqba,Prayer Hall of Uqba,building_wonder_age4_great_mosque_control_abb,Build and defend a Wonder to secure victory. Rival civilizations will be aware of its construction and seek to destroy it.,4,5000,5000,5000,5000,5000,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
20,19,,199647,ab,abbasid,abbasid,siege-workshop-3,Siege Workshop,building,Produces siege engines and powerful gunpowder units.,siege-workshop,Siege Workshop,building_unit_siege_control_abb,Produces siege engines and powerful gunpowder units.,3,2100,0,0,300,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
21,20,,199642,ab,abbasid,abbasid,stable-2,Stable,building,Produces cavalry military units.,stable,Stable,building_unit_cavalry_control_abb,Produces cavalry military units.,2,1500,0,0,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
22,21,,199630,ab,abbasid,abbasid,stone-wall-2,Stone Wall,building,"Sturdy wall that cannot be attacked by torches. 
Units on walls take 25% less damage from ranged attacks, 50% less damage from siege attacks, and their range is increased by +2.",stone-wall,Stone Wall,building_defense_wall_abb,"Sturdy wall that cannot be attacked by torches. 
Units on walls take 25% less damage from ranged attacks, 50% less damage from siege attacks, and their range is increased by +2.",2,3000,0,0,0,25,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
23,22,,199629,ab,abbasid,abbasid,stone-wall-gate-2,Stone Wall Gate,building,"Heavy defensive gate. Must be built on a Stone Wall segment.
Infantry can use the gate to access the top of the walls.",stone-wall-gate,Stone Wall Gate,building_defense_wall_gate_abb,"Heavy defensive gate. Must be built on a Stone Wall segment.
Infantry can use the gate to access the top of the walls.",2,3000,0,0,0,50,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
24,23,,199627,ab,abbasid,abbasid,stone-wall-tower-2,Stone Wall Tower,building,"Heavy defensive tower that fires a springald. Must be built on a Stone Wall segment.
Infantry can use the tower to access the top of the walls.",stone-wall-tower,Stone Wall Tower,building_defense_tower_abb,"Heavy defensive tower that fires a springald. Must be built on a Stone Wall segment.
Infantry can use the tower to access the top of the walls.",2,3000,0,0,0,300,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
25,24,,199641,ab,abbasid,abbasid,town-center-2,Town Center,building,"All Resources can be dropped off here. Produces Villagers, Scouts, and increases your maximum Population. Adds additional attacks while garrisoned.
Non-Capital Town Centers can't detect stealth or disguises.",town-center,Town Center,building_town_center_abb,"All Resources can be dropped off here. Produces Villagers, Scouts, and increases your maximum Population. Adds additional attacks while garrisoned.
Non-Capital Town Centers can't detect stealth or disguises.",2,2500,0,0,400,350,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
26,25,,8535667,ja,japanese,japanese,archery-range-2,Archery Range,building,Produces ranged infantry units.,archery-range,Archery Range,building_unit_ranged_jpn,Produces ranged infantry units.,2,1500,0,0,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
27,26,,8045373,ja,japanese,japanese,barracks-1,Barracks,building,Produces melee infantry units.,barracks,Barracks,building_unit_infantry_jpn,Produces melee infantry units.,1,1500,0,0,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
28,27,,2122031,ja,japanese,japanese,buddhist-temple-3,Buddhist Temple,building,"Produces the Buddhist Monk and houses Unique Buddhist technologies. Starting in the Castle Age (III), religious units can pick up Relics and place them in this building to generate Gold.",buddhist-temple,Buddhist Temple,building_unit_religious_buddhist_jpn,"Produces the Buddhist Monk and houses Unique Buddhist technologies. Starting in the Castle Age (III), religious units can pick up Relics and place them in this building to generate Gold.",3,2100,0,0,200,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
29,28,,5982052,ja,japanese,japanese,capital-town-center-1,Capital Town Center,building,"All Resources can be dropped off here. Produces Villagers, Scouts, and increases your maximum Population. Adds additional attacks while garrisoned.
Capital Town Centers can detect units stealth or disguises.",capital-town-center,Capital Town Center,building_town_center_capital_jpn,"All Resources can be dropped off here. Produces Villagers, Scouts, and increases your maximum Population. Adds additional attacks while garrisoned.
Capital Town Centers can detect units stealth or disguises.",1,7000,0,0,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
30,29,,7625763,ja,japanese,japanese,castle-4,Castle,building,"Heavy garrison and defensible position equipped with a powerful Rocket, which deals high damage to a single target. Can be upgraded with weaponry. Adds additional attacks while garrisoned.",castle,Castle,building_defense_keep_jpn,"Heavy garrison and defensible position equipped with a powerful Rocket, which deals high damage to a single target. Can be upgraded with weaponry. Adds additional attacks while garrisoned.",4,5500,0,0,300,900,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
31,30,,2122037,ja,japanese,japanese,castle-of-the-crow-4,Castle of the Crow,building,"Acts as a Castle. Can periodically spawn Treasure Caravans from selected neutral Trading Posts to provide a large amount of Food, Wood, Gold, and some Stone when reaching the Castle of the Crow.",castle-of-the-crow,Castle of the Crow,building_landmark_age3_treasure_jpn,"Acts as a Castle. Can periodically spawn Treasure Caravans from selected neutral Trading Posts to provide a large amount of Food, Wood, Gold, and some Stone when reaching the Castle of the Crow.",4,5500,2400,1200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
32,31,,6657980,ja,japanese,japanese,dock-1,Dock,building,"Produces naval units.
Automatically repairs nearby damaged naval units.
Capable of holding up to three fishing ships.
Fishing Boats are produced 30% cheaper.",dock,Dock,building_unit_naval_jpn,"Produces naval units.
Automatically repairs nearby damaged naval units.
Capable of holding up to three fishing ships.
Fishing Boats are produced 30% cheaper.",1,1750,0,0,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
33,32,,4382976,ja,japanese,japanese,farm-1,Farm,building,"Harvestable Food source. Use a Villager to gather Food from the Farm.
Only one Villager can work each Farm.",farm,Farm,building_resource_farm_jpn,"Harvestable Food source. Use a Villager to gather Food from the Farm.
Only one Villager can work each Farm.",1,300,0,0,75,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
34,33,,3194372,ja,japanese,japanese,farmhouse-1,Farmhouse,building,Increases your maximum Population and Villagers can drop-off Food at this building. Contains technologies to improve Food gathering.,farmhouse,Farmhouse,building_house_jpn,Increases your maximum Population and Villagers can drop-off Food at this building. Contains technologies to improve Food gathering.,1,750,0,0,50,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
35,34,,2122035,ja,japanese,japanese,floating-gate-2,Floating Gate,building,"Produces a Shinto Priest carrying a Yorishiro every 2 minutes. The first priest spawns instantly. Deposit up to 4 Yorishiro in buildings to provide unique bonuses.
 
Unlocks Shinto Shrines, which contains unique Shinto technologies and produces Shinto Priests.",floating-gate,Floating Gate,building_landmark_age2_shinto_jpn,"Produces a Shinto Priest carrying a Yorishiro every 2 minutes. The first priest spawns instantly. Deposit up to 4 Yorishiro in buildings to provide unique bonuses.
 
Unlocks Shinto Shrines, which contains unique Shinto technologies and produces Shinto Priests.",2,5000,1200,600,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
36,35,,6598132,ja,japanese,japanese,forge-1,Forge,building,Villagers can drop-off Stone and Gold at this building. Houses technologies to improve mining and military units.,forge,Forge,building_econ_mining_camp_jpn,Villagers can drop-off Stone and Gold at this building. Houses technologies to improve mining and military units.,1,750,0,0,50,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
37,36,,2122033,ja,japanese,japanese,koka-township-1,Koka Township,building,"Can produce Shinobi espionage units which specialize in scouting, sabotage, and assassination. Queues production of a free Shinobi upon completion.",koka-township,Koka Township,building_landmark_age1_shinobi_jpn,"Can produce Shinobi espionage units which specialize in scouting, sabotage, and assassination. Queues production of a free Shinobi upon completion.",1,5000,400,200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
38,37,,2122032,ja,japanese,japanese,kura-storehouse-1,Kura Storehouse,building,Universal drop-off location that creates a Farm around the Landmark every 50 seconds — generates Wood instead when farmland becomes full.,kura-storehouse,Kura Storehouse,building_landmark_age1_storehouse_jpn,Universal drop-off location that creates a Farm around the Landmark every 50 seconds — generates Wood instead when farmland becomes full.,1,5000,400,200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
39,38,,3435280,ja,japanese,japanese,lumber-camp-1,Lumber Camp,building,Villagers can drop off Wood at this building. Houses technologies to improve Wood gathering.,lumber-camp,Lumber Camp,building_econ_wood_jpn,Villagers can drop off Wood at this building. Houses technologies to improve Wood gathering.,1,750,0,0,50,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
40,39,,4525187,ja,japanese,japanese,market-2,Market,building,Allows the buying and selling of resources and produces the Trader.,market,Market,building_econ_market_jpn,Allows the buying and selling of resources and produces the Trader.,2,1000,0,0,100,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
41,40,,2321424,ja,japanese,japanese,outpost-1,Outpost,building,Offers extensive line of sight and detects units stealth or disguises. Can be upgraded with weaponry and fortifications. Attacks while garrisoned.,outpost,Outpost,building_defense_outpost_jpn,Offers extensive line of sight and detects units stealth or disguises. Can be upgraded with weaponry and fortifications. Attacks while garrisoned.,1,750,0,0,100,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
42,41,,6602206,ja,japanese,japanese,palisade-gate-1,Palisade Gate,building,Light defensive gate. Must be built on a Palisade Wall segment.,palisade-gate,Palisade Gate,building_defense_palisade_gate_jpn,Light defensive gate. Must be built on a Palisade Wall segment.,1,1250,0,0,25,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
43,42,,7342620,ja,japanese,japanese,palisade-wall-1,Palisade Wall,building,"Light defensive wall for quickly fortifying an area.
Initially costs 21 Wood, with each additional section costing 7 Wood.",palisade-wall,Palisade Wall,building_defense_palisade_jpn,"Light defensive wall for quickly fortifying an area.
Initially costs 21 Wood, with each additional section costing 7 Wood.",1,1250,0,0,7,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
44,43,,2124178,ja,japanese,japanese,shinto-shrine-3,Shinto Shrine,building,"Produces the Shinto Priest and houses Unique Shinto technologies. Starting in the Castle Age (III), religious units can pick up Relics and place them in this building to generate Gold.",shinto-shrine,Shinto Shrine,building_unit_religious_shinto_jpn,"Produces the Shinto Priest and houses Unique Shinto technologies. Starting in the Castle Age (III), religious units can pick up Relics and place them in this building to generate Gold.",3,2100,0,0,200,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
45,44,,3635484,ja,japanese,japanese,siege-workshop-3,Siege Workshop,building,Produces siege engines and powerful gunpowder units.,siege-workshop,Siege Workshop,building_unit_siege_jpn,Produces siege engines and powerful gunpowder units.,3,2100,0,0,300,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
46,45,,6561887,ja,japanese,japanese,stable-2,Stable,building,Produces cavalry military units.,stable,Stable,building_unit_cavalry_jpn,Produces cavalry military units.,2,1500,0,0,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
47,46,,5958789,ja,japanese,japanese,stone-wall-2,Stone Wall,building,"Sturdy wall that cannot be attacked by torches. 
Units on walls take 25% less damage from ranged attacks, 50% less damage from siege attacks, and their range is increased by +2.",stone-wall,Stone Wall,building_defense_wall_jpn,"Sturdy wall that cannot be attacked by torches. 
Units on walls take 25% less damage from ranged attacks, 50% less damage from siege attacks, and their range is increased by +2.",2,3000,0,0,0,25,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
48,47,,4253235,ja,japanese,japanese,stone-wall-gate-2,Stone Wall Gate,building,"Heavy defensive gate. Must be built on a Stone Wall segment.
Infantry can use the gate to access the top of the walls.",stone-wall-gate,Stone Wall Gate,building_defense_wall_gate_jpn,"Heavy defensive gate. Must be built on a Stone Wall segment.
Infantry can use the gate to access the top of the walls.",2,3000,0,0,0,50,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
49,48,,4964555,ja,japanese,japanese,stone-wall-tower-2,Stone Wall Tower,building,"Heavy defensive tower that fires a springald. Must be built on a Stone Wall segment.
Infantry can use the tower to access the top of the walls.",stone-wall-tower,Stone Wall Tower,building_defense_tower_jpn,"Heavy defensive tower that fires a springald. Must be built on a Stone Wall segment.
Infantry can use the tower to access the top of the walls.",2,3000,0,0,0,300,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
50,49,,2122036,ja,japanese,japanese,tanegashima-gunsmith-3,Tanegashima Gunsmith,building,"Stockpiles weapon supplies every 30 seconds that can be used to instantly produce gunpowder units - comes with 2 stockpiles. Produces Ozutsu, a unique heavy ranged gunpowder infantry with siege damage. Allows access to Ribauldequins.",tanegashima-gunsmith,Tanegashima Gunsmith,building_landmark_age3_ozutsu_jpn,"Stockpiles weapon supplies every 30 seconds that can be used to instantly produce gunpowder units - comes with 2 stockpiles. Produces Ozutsu, a unique heavy ranged gunpowder infantry with siege damage. Allows access to Ribauldequins.",3,5000,2400,1200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
51,50,,2122034,ja,japanese,japanese,temple-of-equality-2,Temple of Equality,building,"Produces Buddhist Monks and contains unique Buddhist technologies. Buddhist Monks provide support in combat by decreasing enemy damage with Sohei's Sutra and by enhancing damage of allies with Buddhist Conversion.
 
Also allows construction of 4 additional Buddhist Temples.",temple-of-equality,Temple of Equality,building_landmark_age2_buddhist_jpn,"Produces Buddhist Monks and contains unique Buddhist technologies. Buddhist Monks provide support in combat by decreasing enemy damage with Sohei's Sutra and by enhancing damage of allies with Buddhist Conversion.
 
Also allows construction of 4 additional Buddhist Temples.",2,5000,1200,600,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
52,51,,2140330,ja,japanese,japanese,tokugawa-shrine-4,Tokugawa Shrine,building,Build and defend a Wonder to secure victory. Rival civilizations will be aware of its construction and seek to destroy it.,tokugawa-shrine,Tokugawa Shrine,building_wonder_age4_nikko_toshogu_jpn,Build and defend a Wonder to secure victory. Rival civilizations will be aware of its construction and seek to destroy it.,4,5000,5000,5000,5000,5000,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
53,52,,7057070,ja,japanese,japanese,town-center-2,Town Center,building,"All Resources can be dropped off here. Produces Villagers, Scouts, and increases your maximum Population. Adds additional attacks while garrisoned.
Non-Capital Town Centers can't detect stealth or disguises.",town-center,Town Center,building_town_center_jpn,"All Resources can be dropped off here. Produces Villagers, Scouts, and increases your maximum Population. Adds additional attacks while garrisoned.
Non-Capital Town Centers can't detect stealth or disguises.",2,2500,0,0,400,350,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
54,53,,5303138,ja,japanese,japanese,university-4,University,building,Houses advanced technology that benefit the civilization.,university,University,building_tech_university_jpn,Houses advanced technology that benefit the civilization.,4,2100,0,0,450,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
55,54,,5411355,ay,ayyubids,abbasid_ha_01,archery-range-2,Archery Range,building,Produces ranged infantry units.,archery-range,Archery Range,building_unit_ranged_control_abb_ha_01,Produces ranged infantry units.,2,1500,0,0,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
56,55,,8048617,ay,ayyubids,abbasid_ha_01,barracks-1,Barracks,building,Produces melee infantry units.,barracks,Barracks,building_unit_infantry_control_abb_ha_01,Produces melee infantry units.,1,1500,0,0,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
57,56,,4992886,ay,ayyubids,abbasid_ha_01,blacksmith-2,Blacksmith,building,Houses technology to improve infantry and cavalry.,blacksmith,Blacksmith,building_tech_unit_infantry_control_abb_ha_01,Houses technology to improve infantry and cavalry.,2,1500,0,0,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
58,57,,8390220,ay,ayyubids,abbasid_ha_01,capital-town-center-1,Capital Town Center,building,"All Resources can be dropped off here. Produces Villagers, Scouts, and increases your maximum Population. Adds additional attacks while garrisoned.
Capital Town Centers can detect units stealth or disguises.",capital-town-center,Capital Town Center,building_town_center_capital_abb_ha_01,"All Resources can be dropped off here. Produces Villagers, Scouts, and increases your maximum Population. Adds additional attacks while garrisoned.
Capital Town Centers can detect units stealth or disguises.",1,7000,0,0,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
