id,IDUnit,NormalizedId,PBGID,CivilizationAbbreviation,CivilizationSlug,CivilizationAttributeName,ObjectId,ObjectName,ObjectNameType,ObjectDescription,BaseId,Name,AttributeName,Description,AvaiableAgeId,Hitpoints,Food,Gold,Wood,Stone,AgeId,VizierPoint,OliveOil,Total,Supply,Armor,Weapon,Aoe4AnalyticsGameVersion,Aoe4ReplayApiVersion,Aoe4ReplayApiBuild,Aoe4WorldAppVersion,Aoe4WorldAppDataChecksum,Aoe4WorldMajorVersion,Aoe4WorldDataRepositoryGitCommitHash
11,10,,199745,ab,abbasid,abbasid,counterweight-trebuchet-3,Counterweight Trebuchet,unit,"Powerful siege engine effective at destroying buildings and walls over a great distance.
+ Bonus damage vs buildings
- Must be set up to fire
- Inaccurate against units",counterweight-trebuchet,Counterweight Trebuchet,unit_trebuchet_4_cw_abb,"Powerful siege engine effective at destroying buildings and walls over a great distance.
+ Bonus damage vs buildings
- Must be set up to fire
- Inaccurate against units",3,140.0,0,150,400,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
12,11,,199711,ab,abbasid,abbasid,crossbowman-3,Crossbowman,unit,"High damage ranged unit best against armored targets.
+ Anti-armor specialist
- Low health
- Countered by Horsemen",crossbowman,Crossbowman,unit_crossbowman_3_abb,"High damage ranged unit best against armored targets.
+ Anti-armor specialist
- Low health
- Countered by Horsemen",3,80.0,80,40,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
13,12,,199712,ab,abbasid,abbasid,crossbowman-4,Elite Crossbowman,unit,"High damage ranged unit best against armored targets.
+ Anti-armor specialist
- Low health
- Countered by Horsemen",crossbowman,Elite Crossbowman,unit_crossbowman_4_abb,"High damage ranged unit best against armored targets.
+ Anti-armor specialist
- Low health
- Countered by Horsemen",4,95.0,80,40,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
14,13,,199713,ab,abbasid,abbasid,culverin-4,Culverin,unit,"Long-range mobile cannon with bonus vs buildings.
+ Effective against Defenses
+ Does not require setup to fire",culverin,Culverin,unit_culverin_4_abb,"Long-range mobile cannon with bonus vs buildings.
+ Effective against Defenses
+ Does not require setup to fire",4,200.0,0,550,325,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
15,14,,2033846,ab,abbasid,abbasid,dhow-2,Dhow,unit,"Light war vessel armed with a crew of archers.
+ Increased maneuverability and speed.
+ Benefits from ranged damage Blacksmith technology",dhow,Dhow,unit_naval_dhow_2_abb,"Light war vessel armed with a crew of archers.
+ Increased maneuverability and speed.
+ Benefits from ranged damage Blacksmith technology",2,300.0,80,0,150,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
16,15,,199727,ab,abbasid,abbasid,explosive-dhow-3,Explosive Dhow,unit,"Small ship packed with explosives. Detonates when killed, damaging any units in the area.
- Damage is reduced further from the explosion center
- No weapons other than self-destruction",explosive-dhow,Explosive Dhow,unit_naval_fireship_3_abb,"Small ship packed with explosives. Detonates when killed, damaging any units in the area.
- Damage is reduced further from the explosion center
- No weapons other than self-destruction",3,145.0,0,80,80,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
17,16,,199728,ab,abbasid,abbasid,fishing-boat-2,Fishing Boat,unit,"Small boat that gathers Food from either Deep Water Fish or Shoreline Fish. Drops off gathered resources at the Dock.
+ Can repair
- No combat",fishing-boat,Fishing Boat,unit_naval_fishing_boat_2_abb,"Small boat that gathers Food from either Deep Water Fish or Shoreline Fish. Drops off gathered resources at the Dock.
+ Can repair
- No combat",2,100.0,0,0,75,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
18,17,,199721,ab,abbasid,abbasid,ghulam-3,Ghulam,unit,"Tough infantry that deal two attacks in rapid succession.
+ High armor
+ Higher attack damage on charge
- Lower base attack damage than a Man-at-Arms
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",ghulam,Ghulam,unit_manatarms_3_abb,"Tough infantry that deal two attacks in rapid succession.
+ High armor
+ Higher attack damage on charge
- Lower base attack damage than a Man-at-Arms
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",3,195.0,120,30,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
19,18,,199722,ab,abbasid,abbasid,ghulam-4,Elite Ghulam,unit,"Tough infantry that deal two attacks in rapid succession.
+ High armor
+ Higher attack damage on charge
- Lower base attack damage than a Man-at-Arms
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",ghulam,Elite Ghulam,unit_manatarms_4_abb,"Tough infantry that deal two attacks in rapid succession.
+ High armor
+ Higher attack damage on charge
- Lower base attack damage than a Man-at-Arms
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",4,225.0,120,30,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
20,19,,199714,ab,abbasid,abbasid,handcannoneer-4,Handcannoneer,unit,"Powerful all-purpose ranged infantry.
+ High damage
- High cost
- Slow movement speed
- Countered by Horsemen",handcannoneer,Handcannoneer,unit_handcannon_4_abb,"Powerful all-purpose ranged infantry.
+ High damage
- High cost
- Slow movement speed
- Countered by Horsemen",4,130.0,120,120,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
21,20,,199715,ab,abbasid,abbasid,horseman-2,Horseman,unit,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",horseman,Horseman,unit_horseman_2_abb,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",2,125.0,100,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
22,21,,199716,ab,abbasid,abbasid,horseman-3,Veteran Horseman,unit,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",horseman,Veteran Horseman,unit_horseman_3_abb,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",3,155.0,100,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
23,22,,199717,ab,abbasid,abbasid,horseman-4,Elite Horseman,unit,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",horseman,Elite Horseman,unit_horseman_4_abb,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",4,180.0,100,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
24,23,,200107,ab,abbasid,abbasid,imam-3,Imam,unit,"Support unit with no combat capability. Can pick up Relics, convert enemy units, and capture Sacred Sites.
+ Heals friendly units
- Slow movement speed",imam,Imam,unit_monk_3_abb,"Support unit with no combat capability. Can pick up Relics, convert enemy units, and capture Sacred Sites.
+ Heals friendly units
- Slow movement speed",3,90.0,0,150,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
25,24,,199719,ab,abbasid,abbasid,lancer-3,Lancer,unit,"Expensive cavalry with high damage and melee armor. Effective against melee units.
+ Heavy armor
+ Strong in melee combat
- Countered by Spearmen and Crossbowmen",lancer,Lancer,unit_knight_3_abb,"Expensive cavalry with high damage and melee armor. Effective against melee units.
+ Heavy armor
+ Strong in melee combat
- Countered by Spearmen and Crossbowmen",3,230.0,140,100,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
26,25,,199720,ab,abbasid,abbasid,lancer-4,Elite Lancer,unit,"Expensive cavalry with high damage and melee armor. Effective against melee units.
+ Heavy armor
+ Strong in melee combat
- Countered by Spearmen and Crossbowmen",lancer,Elite Lancer,unit_knight_4_abb,"Expensive cavalry with high damage and melee armor. Effective against melee units.
+ Heavy armor
+ Strong in melee combat
- Countered by Spearmen and Crossbowmen",4,270.0,140,100,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
27,26,,199723,ab,abbasid,abbasid,mangonel-3,Mangonel,unit,"Fires multiple projectiles dealing damage in an area.
+ Effective against massed units
- Must be set up to fire",mangonel,Mangonel,unit_mangonel_3_abb,"Fires multiple projectiles dealing damage in an area.
+ Effective against massed units
- Must be set up to fire",3,130.0,0,200,400,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
28,27,,199733,ab,abbasid,abbasid,scout-1,Scout,unit,"Lightly armed cavalry effective at exploring the world, hunting wildlife, and herding Sheep.
+ Able to see into Stealth Forests
+ Health regeneration
+ High movement speed
- Very weak in combat",scout,Scout,unit_scout_1_abb,"Lightly armed cavalry effective at exploring the world, hunting wildlife, and herding Sheep.
+ Able to see into Stealth Forests
+ Health regeneration
+ High movement speed
- Very weak in combat",1,110.0,70,0,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
29,28,,199736,ab,abbasid,abbasid,spearman-1,Spearman,unit,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",spearman,Spearman,unit_spearman_1_abb,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",1,80.0,60,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
30,29,,199738,ab,abbasid,abbasid,spearman-2,Hardened Spearman,unit,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",spearman,Hardened Spearman,unit_spearman_2_abb,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",2,90.0,60,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
31,30,,199740,ab,abbasid,abbasid,spearman-3,Veteran Spearman,unit,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",spearman,Veteran Spearman,unit_spearman_3_abb,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",3,110.0,60,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
32,31,,199742,ab,abbasid,abbasid,spearman-4,Elite Spearman,unit,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",spearman,Elite Spearman,unit_spearman_4_abb,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",4,130.0,60,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
33,32,,199743,ab,abbasid,abbasid,springald-3,Springald,unit,"Anti-unit siege weapon. Fires bolts that pierce multiple units.
+ Does not require setup to fire
+ Bonus damage vs. melee infantry
- Trivial damage vs. buildings",springald,Springald,unit_springald_3_abb,"Anti-unit siege weapon. Fires bolts that pierce multiple units.
+ Does not require setup to fire
+ Bonus damage vs. melee infantry
- Trivial damage vs. buildings",3,75.0,0,100,150,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
34,33,,199729,ab,abbasid,abbasid,trade-ship-2,Trade Ship,unit,"Trade Ships generate Gold and Wood when assigned to a trade route with a Coastal Trade Post or another player's Dock.
- No combat",trade-ship,Trade Ship,unit_naval_trade_ship_3_abb,"Trade Ships generate Gold and Wood when assigned to a trade route with a Coastal Trade Post or another player's Dock.
- No combat",2,225.0,0,100,100,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
35,34,,199744,ab,abbasid,abbasid,trader-1,Trader,unit,"Traders generate Gold when assigned to trade with a Trade Post or another player’s Market. The distance between the trade target and Market determines the amount of Gold. Once assigned to trade, the Trader makes repeated trips between its Home Market and the trade target. You can assign a new Home Market if you wish to.",trader,Trader,unit_trade_cart_abb,"Traders generate Gold when assigned to trade with a Trade Post or another player’s Market. The distance between the trade target and Market determines the amount of Gold. Once assigned to trade, the Trader makes repeated trips between its Home Market and the trade target. You can assign a new Home Market if you wish to.",1,90.0,0,40,40,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
36,35,,199730,ab,abbasid,abbasid,transport-ship-2,Transport Ship,unit,"Large oared vessel able to transport land units across water.
+ Can be garrisoned by any unit
+ Uses sight range of units in garrison
- No combat",transport-ship,Transport Ship,unit_naval_transport_ship_2_abb,"Large oared vessel able to transport land units across water.
+ Can be garrisoned by any unit
+ Uses sight range of units in garrison
- No combat",2,400.0,0,0,100,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
37,36,,199747,ab,abbasid,abbasid,villager-1,Villager,unit,"Gathers Wood, Food, Stone, and Gold. Builds and repairs buildings and can repair siege engines and naval units.
- Weak in combat",villager,Villager,unit_villager_1_abb,"Gathers Wood, Food, Stone, and Gold. Builds and repairs buildings and can repair siege engines and naval units.
- Weak in combat",1,50.0,50,0,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
38,37,,199726,ab,abbasid,abbasid,xebec-4,Xebec,unit,"Large sailed war vessel armed with broadside cannons.
+ Anti-structure specialist
- Low movement speed",xebec,Xebec,unit_naval_combat_warship_4_abb,"Large sailed war vessel armed with broadside cannons.
+ Anti-structure specialist
- Low movement speed",4,700.0,200,200,200,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
39,38,,4708845,ja,japanese,japanese,atakebune-4,Atakebune,unit,"Large sailed war vessel armed with rockets.
+ Anti-structure specialist
- Vulnerable vs. Incendiary Ships
- Low movement speed",atakebune,Atakebune,unit_naval_combat_warship_4_jpn,"Large sailed war vessel armed with rockets.
+ Anti-structure specialist
- Vulnerable vs. Incendiary Ships
- Low movement speed",4,650.0,100,220,220,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
40,39,,2140594,ja,japanese,japanese,battering-ram-2,Battering Ram,unit,"Durable infantry transport effective against buildings and walls.
+ High ranged armor
+ High health
- Takes bonus damage from melee attacks
- Can only attack buildings
- Slow movement speed",battering-ram,Battering Ram,unit_workshop_ram_3_jpn,"Durable infantry transport effective against buildings and walls.
+ High ranged armor
+ High health
- Takes bonus damage from melee attacks
- Can only attack buildings
- Slow movement speed",2,370.0,0,0,200,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
41,40,,7319578,ja,japanese,japanese,bombard-4,Bombard,unit,"Intimidating siege gun excellent against buildings or any stubborn targets.
+ High damage
- Must be set up to fire",bombard,Bombard,unit_bombard_4_jpn,"Intimidating siege gun excellent against buildings or any stubborn targets.
+ High damage
- Must be set up to fire",4,210.0,0,500,350,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
42,41,,6891673,ja,japanese,japanese,buddhist-monk-3,Buddhist Monk,unit,"Support unit with the ability to decrease enemy attack damage. Can pick up Relics, convert enemy units, and capture Sacred Sites.
+ Reduced cost
+ Conversion enhances friendly unit damage
+ Automatically reduces enemy attack damage
+ Heals units",buddhist-monk,Buddhist Monk,unit_monk_buddhist_3_jpn,"Support unit with the ability to decrease enemy attack damage. Can pick up Relics, convert enemy units, and capture Sacred Sites.
+ Reduced cost
+ Conversion enhances friendly unit damage
+ Automatically reduces enemy attack damage
+ Heals units",3,90.0,0,80,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
43,42,,3600511,ja,japanese,japanese,counterweight-trebuchet-3,Counterweight Trebuchet,unit,"Powerful siege engine effective at destroying buildings and walls over a great distance.
+ Bonus damage vs buildings
- Must be set up to fire
- Inaccurate against units",counterweight-trebuchet,Counterweight Trebuchet,unit_trebuchet_4_cw_jpn,"Powerful siege engine effective at destroying buildings and walls over a great distance.
+ Bonus damage vs buildings
- Must be set up to fire
- Inaccurate against units",3,140.0,0,150,400,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
44,43,,3737428,ja,japanese,japanese,explosive-junk-3,Explosive Junk,unit,"Small ship packed with explosives. Detonates when killed, damaging any units in the area.
- Damage is reduced further from the explosion center
- No weapons other than self-destruction",explosive-junk,Explosive Junk,unit_naval_fireship_3_jpn,"Small ship packed with explosives. Detonates when killed, damaging any units in the area.
- Damage is reduced further from the explosion center
- No weapons other than self-destruction",3,145.0,0,80,80,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
45,44,,6326214,ja,japanese,japanese,fishing-boat-2,Fishing Boat,unit,"Small boat that gathers Food from either Deep Water Fish or Shoreline Fish. Drops off gathered resources at the Dock.
+ Can repair
- No combat",fishing-boat,Fishing Boat,unit_naval_fishing_boat_2_jpn,"Small boat that gathers Food from either Deep Water Fish or Shoreline Fish. Drops off gathered resources at the Dock.
+ Can repair
- No combat",2,100.0,0,0,45,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
46,45,,4137773,ja,japanese,japanese,handcannon-ashigaru-4,Handcannon Ashigaru,unit,"Powerful all-purpose ranged infantry.
+ High damage
- High cost
- Slow movement speed
- Countered by Horsemen",handcannon-ashigaru,Handcannon Ashigaru,unit_handcannon_4_jpn,"Powerful all-purpose ranged infantry.
+ High damage
- High cost
- Slow movement speed
- Countered by Horsemen",4,130.0,120,120,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
47,46,,2314729,ja,japanese,japanese,horseman-2,Horseman,unit,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",horseman,Horseman,unit_horseman_2_jpn,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",2,125.0,100,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
48,47,,2691843,ja,japanese,japanese,horseman-3,Veteran Horseman,unit,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",horseman,Veteran Horseman,unit_horseman_3_jpn,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",3,155.0,100,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
49,48,,6769486,ja,japanese,japanese,horseman-4,Elite Horseman,unit,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",horseman,Elite Horseman,unit_horseman_4_jpn,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",4,180.0,100,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
50,49,,4159607,ja,japanese,japanese,junk-2,Junk,unit,"Oared war vessel armed with a crew of archers.
+ Increased maneuverability
+ Benefits from ranged damage Blacksmith technology",junk,Junk,unit_naval_war_galley_3_jpn,"Oared war vessel armed with a crew of archers.
+ Increased maneuverability
+ Benefits from ranged damage Blacksmith technology",2,300.0,80,0,150,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
51,50,,2143512,ja,japanese,japanese,katana-bannerman-2,Katana Bannerman,unit,"Samurai with an aura that increases damage of melee infantry. Comes with the Deflective Armor ability that periodically blocks attacks.
+ Banner drops on death
+ Heavy armor
+ Increased move speed
- Countered by Knights, Lancers, and Crossbowmen",katana-bannerman,Katana Bannerman,unit_banner_samurai_melee_2_jpn,"Samurai with an aura that increases damage of melee infantry. Comes with the Deflective Armor ability that periodically blocks attacks.
+ Banner drops on death
+ Heavy armor
+ Increased move speed
- Countered by Knights, Lancers, and Crossbowmen",2,155.0,100,30,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
52,51,,8461993,ja,japanese,japanese,mangonel-3,Mangonel,unit,"Fires multiple projectiles dealing damage in an area.
+ Effective against massed units
- Must be set up to fire",mangonel,Mangonel,unit_mangonel_3_jpn,"Fires multiple projectiles dealing damage in an area.
+ Effective against massed units
- Must be set up to fire",3,130.0,0,200,400,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
