id,IDGameTime,TotalSecond,Second,Minute,Hour,5Minute,1Minute,2Minute,10Minute,Timestamp,Aoe4AnalyticsGameVersion,Aoe4ReplayApiVersion,Aoe4ReplayApiBuild,Aoe4WorldAppVersion,Aoe4WorldAppDataChecksum,Aoe4WorldMajorVersion,Aoe4WorldDataRepositoryGitCommitHash
31,30,30,30,0,0,0,0,0,0,0001-01-01 00:00:30,,,,,,,
32,31,31,31,0,0,0,0,0,0,0001-01-01 00:00:31,,,,,,,
33,32,32,32,0,0,0,0,0,0,0001-01-01 00:00:32,,,,,,,
34,33,33,33,0,0,0,0,0,0,0001-01-01 00:00:33,,,,,,,
35,34,34,34,0,0,0,0,0,0,0001-01-01 00:00:34,,,,,,,
36,35,35,35,0,0,0,0,0,0,0001-01-01 00:00:35,,,,,,,
37,36,36,36,0,0,0,0,0,0,0001-01-01 00:00:36,,,,,,,
38,37,37,37,0,0,0,0,0,0,0001-01-01 00:00:37,,,,,,,
39,38,38,38,0,0,0,0,0,0,0001-01-01 00:00:38,,,,,,,
40,39,39,39,0,0,0,0,0,0,0001-01-01 00:00:39,,,,,,,
41,40,40,40,0,0,0,0,0,0,0001-01-01 00:00:40,,,,,,,
42,41,41,41,0,0,0,0,0,0,0001-01-01 00:00:41,,,,,,,
43,42,42,42,0,0,0,0,0,0,0001-01-01 00:00:42,,,,,,,
44,43,43,43,0,0,0,0,0,0,0001-01-01 00:00:43,,,,,,,
45,44,44,44,0,0,0,0,0,0,0001-01-01 00:00:44,,,,,,,
46,45,45,45,0,0,0,0,0,0,0001-01-01 00:00:45,,,,,,,
47,46,46,46,0,0,0,0,0,0,0001-01-01 00:00:46,,,,,,,
48,47,47,47,0,0,0,0,0,0,0001-01-01 00:00:47,,,,,,,
49,48,48,48,0,0,0,0,0,0,0001-01-01 00:00:48,,,,,,,
50,49,49,49,0,0,0,0,0,0,0001-01-01 00:00:49,,,,,,,
51,50,50,50,0,0,0,0,0,0,0001-01-01 00:00:50,,,,,,,
52,51,51,51,0,0,0,0,0,0,0001-01-01 00:00:51,,,,,,,
53,52,52,52,0,0,0,0,0,0,0001-01-01 00:00:52,,,,,,,
54,53,53,53,0,0,0,0,0,0,0001-01-01 00:00:53,,,,,,,
55,54,54,54,0,0,0,0,0,0,0001-01-01 00:00:54,,,,,,,
56,55,55,55,0,0,0,0,0,0,0001-01-01 00:00:55,,,,,,,
57,56,56,56,0,0,0,0,0,0,0001-01-01 00:00:56,,,,,,,
58,57,57,57,0,0,0,0,0,0,0001-01-01 00:00:57,,,,,,,
59,58,58,58,0,0,0,0,0,0,0001-01-01 00:00:58,,,,,,,
60,59,59,59,0,0,0,0,0,0,0001-01-01 00:00:59,,,,,,,
61,60,60,0,1,0,0,1,0,0,0001-01-01 00:01:00,,,,,,,
62,61,61,1,1,0,0,1,0,0,0001-01-01 00:01:01,,,,,,,
63,62,62,2,1,0,0,1,0,0,0001-01-01 00:01:02,,,,,,,
64,63,63,3,1,0,0,1,0,0,0001-01-01 00:01:03,,,,,,,
65,64,64,4,1,0,0,1,0,0,0001-01-01 00:01:04,,,,,,,
66,65,65,5,1,0,0,1,0,0,0001-01-01 00:01:05,,,,,,,
67,66,66,6,1,0,0,1,0,0,0001-01-01 00:01:06,,,,,,,
68,67,67,7,1,0,0,1,0,0,0001-01-01 00:01:07,,,,,,,
69,68,68,8,1,0,0,1,0,0,0001-01-01 00:01:08,,,,,,,
70,69,69,9,1,0,0,1,0,0,0001-01-01 00:01:09,,,,,,,
71,70,70,10,1,0,0,1,0,0,0001-01-01 00:01:10,,,,,,,
72,71,71,11,1,0,0,1,0,0,0001-01-01 00:01:11,,,,,,,
73,72,72,12,1,0,0,1,0,0,0001-01-01 00:01:12,,,,,,,
74,73,73,13,1,0,0,1,0,0,0001-01-01 00:01:13,,,,,,,
75,74,74,14,1,0,0,1,0,0,0001-01-01 00:01:14,,,,,,,
76,75,75,15,1,0,0,1,0,0,0001-01-01 00:01:15,,,,,,,
77,76,76,16,1,0,0,1,0,0,0001-01-01 00:01:16,,,,,,,
78,77,77,17,1,0,0,1,0,0,0001-01-01 00:01:17,,,,,,,
79,78,78,18,1,0,0,1,0,0,0001-01-01 00:01:18,,,,,,,
80,79,79,19,1,0,0,1,0,0,0001-01-01 00:01:19,,,,,,,
81,80,80,20,1,0,0,1,0,0,0001-01-01 00:01:20,,,,,,,
82,81,81,21,1,0,0,1,0,0,0001-01-01 00:01:21,,,,,,,
83,82,82,22,1,0,0,1,0,0,0001-01-01 00:01:22,,,,,,,
84,83,83,23,1,0,0,1,0,0,0001-01-01 00:01:23,,,,,,,
85,84,84,24,1,0,0,1,0,0,0001-01-01 00:01:24,,,,,,,
86,85,85,25,1,0,0,1,0,0,0001-01-01 00:01:25,,,,,,,
87,86,86,26,1,0,0,1,0,0,0001-01-01 00:01:26,,,,,,,
88,87,87,27,1,0,0,1,0,0,0001-01-01 00:01:27,,,,,,,
89,88,88,28,1,0,0,1,0,0,0001-01-01 00:01:28,,,,,,,
90,89,89,29,1,0,0,1,0,0,0001-01-01 00:01:29,,,,,,,
91,90,90,30,1,0,0,1,0,0,0001-01-01 00:01:30,,,,,,,
92,91,91,31,1,0,0,1,0,0,0001-01-01 00:01:31,,,,,,,
93,92,92,32,1,0,0,1,0,0,0001-01-01 00:01:32,,,,,,,
94,93,93,33,1,0,0,1,0,0,0001-01-01 00:01:33,,,,,,,
95,94,94,34,1,0,0,1,0,0,0001-01-01 00:01:34,,,,,,,
96,95,95,35,1,0,0,1,0,0,0001-01-01 00:01:35,,,,,,,
97,96,96,36,1,0,0,1,0,0,0001-01-01 00:01:36,,,,,,,
98,97,97,37,1,0,0,1,0,0,0001-01-01 00:01:37,,,,,,,
99,98,98,38,1,0,0,1,0,0,0001-01-01 00:01:38,,,,,,,
100,99,99,39,1,0,0,1,0,0,0001-01-01 00:01:39,,,,,,,
101,100,100,40,1,0,0,1,0,0,0001-01-01 00:01:40,,,,,,,
102,101,101,41,1,0,0,1,0,0,0001-01-01 00:01:41,,,,,,,
103,102,102,42,1,0,0,1,0,0,0001-01-01 00:01:42,,,,,,,
104,103,103,43,1,0,0,1,0,0,0001-01-01 00:01:43,,,,,,,
105,104,104,44,1,0,0,1,0,0,0001-01-01 00:01:44,,,,,,,
106,105,105,45,1,0,0,1,0,0,0001-01-01 00:01:45,,,,,,,
107,106,106,46,1,0,0,1,0,0,0001-01-01 00:01:46,,,,,,,
108,107,107,47,1,0,0,1,0,0,0001-01-01 00:01:47,,,,,,,
109,108,108,48,1,0,0,1,0,0,0001-01-01 00:01:48,,,,,,,
110,109,109,49,1,0,0,1,0,0,0001-01-01 00:01:49,,,,,,,
111,110,110,50,1,0,0,1,0,0,0001-01-01 00:01:50,,,,,,,
112,111,111,51,1,0,0,1,0,0,0001-01-01 00:01:51,,,,,,,
113,112,112,52,1,0,0,1,0,0,0001-01-01 00:01:52,,,,,,,
114,113,113,53,1,0,0,1,0,0,0001-01-01 00:01:53,,,,,,,
115,114,114,54,1,0,0,1,0,0,0001-01-01 00:01:54,,,,,,,
116,115,115,55,1,0,0,1,0,0,0001-01-01 00:01:55,,,,,,,
117,116,116,56,1,0,0,1,0,0,0001-01-01 00:01:56,,,,,,,
118,117,117,57,1,0,0,1,0,0,0001-01-01 00:01:57,,,,,,,
119,118,118,58,1,0,0,1,0,0,0001-01-01 00:01:58,,,,,,,
120,119,119,59,1,0,0,1,0,0,0001-01-01 00:01:59,,,,,,,
121,120,120,0,2,0,0,2,1,0,0001-01-01 00:02:00,,,,,,,
122,121,121,1,2,0,0,2,1,0,0001-01-01 00:02:01,,,,,,,
123,122,122,2,2,0,0,2,1,0,0001-01-01 00:02:02,,,,,,,
124,123,123,3,2,0,0,2,1,0,0001-01-01 00:02:03,,,,,,,
125,124,124,4,2,0,0,2,1,0,0001-01-01 00:02:04,,,,,,,
126,125,125,5,2,0,0,2,1,0,0001-01-01 00:02:05,,,,,,,
127,126,126,6,2,0,0,2,1,0,0001-01-01 00:02:06,,,,,,,
128,127,127,7,2,0,0,2,1,0,0001-01-01 00:02:07,,,,,,,
129,128,128,8,2,0,0,2,1,0,0001-01-01 00:02:08,,,,,,,
130,129,129,9,2,0,0,2,1,0,0001-01-01 00:02:09,,,,,,,
131,130,130,10,2,0,0,2,1,0,0001-01-01 00:02:10,,,,,,,
132,131,131,11,2,0,0,2,1,0,0001-01-01 00:02:11,,,,,,,
133,132,132,12,2,0,0,2,1,0,0001-01-01 00:02:12,,,,,,,
134,133,133,13,2,0,0,2,1,0,0001-01-01 00:02:13,,,,,,,
135,134,134,14,2,0,0,2,1,0,0001-01-01 00:02:14,,,,,,,
136,135,135,15,2,0,0,2,1,0,0001-01-01 00:02:15,,,,,,,
137,136,136,16,2,0,0,2,1,0,0001-01-01 00:02:16,,,,,,,
138,137,137,17,2,0,0,2,1,0,0001-01-01 00:02:17,,,,,,,
139,138,138,18,2,0,0,2,1,0,0001-01-01 00:02:18,,,,,,,
140,139,139,19,2,0,0,2,1,0,0001-01-01 00:02:19,,,,,,,
141,140,140,20,2,0,0,2,1,0,0001-01-01 00:02:20,,,,,,,
142,141,141,21,2,0,0,2,1,0,0001-01-01 00:02:21,,,,,,,
143,142,142,22,2,0,0,2,1,0,0001-01-01 00:02:22,,,,,,,
144,143,143,23,2,0,0,2,1,0,0001-01-01 00:02:23,,,,,,,
145,144,144,24,2,0,0,2,1,0,0001-01-01 00:02:24,,,,,,,
146,145,145,25,2,0,0,2,1,0,0001-01-01 00:02:25,,,,,,,
147,146,146,26,2,0,0,2,1,0,0001-01-01 00:02:26,,,,,,,
148,147,147,27,2,0,0,2,1,0,0001-01-01 00:02:27,,,,,,,
149,148,148,28,2,0,0,2,1,0,0001-01-01 00:02:28,,,,,,,
150,149,149,29,2,0,0,2,1,0,0001-01-01 00:02:29,,,,,,,
151,150,150,30,2,0,0,2,1,0,0001-01-01 00:02:30,,,,,,,
152,151,151,31,2,0,0,2,1,0,0001-01-01 00:02:31,,,,,,,
153,152,152,32,2,0,0,2,1,0,0001-01-01 00:02:32,,,,,,,
154,153,153,33,2,0,0,2,1,0,0001-01-01 00:02:33,,,,,,,
155,154,154,34,2,0,0,2,1,0,0001-01-01 00:02:34,,,,,,,
156,155,155,35,2,0,0,2,1,0,0001-01-01 00:02:35,,,,,,,
157,156,156,36,2,0,0,2,1,0,0001-01-01 00:02:36,,,,,,,
158,157,157,37,2,0,0,2,1,0,0001-01-01 00:02:37,,,,,,,
159,158,158,38,2,0,0,2,1,0,0001-01-01 00:02:38,,,,,,,
160,159,159,39,2,0,0,2,1,0,0001-01-01 00:02:39,,,,,,,
161,160,160,40,2,0,0,2,1,0,0001-01-01 00:02:40,,,,,,,
162,161,161,41,2,0,0,2,1,0,0001-01-01 00:02:41,,,,,,,
163,162,162,42,2,0,0,2,1,0,0001-01-01 00:02:42,,,,,,,
164,163,163,43,2,0,0,2,1,0,0001-01-01 00:02:43,,,,,,,
165,164,164,44,2,0,0,2,1,0,0001-01-01 00:02:44,,,,,,,
166,165,165,45,2,0,0,2,1,0,0001-01-01 00:02:45,,,,,,,
167,166,166,46,2,0,0,2,1,0,0001-01-01 00:02:46,,,,,,,
168,167,167,47,2,0,0,2,1,0,0001-01-01 00:02:47,,,,,,,
169,168,168,48,2,0,0,2,1,0,0001-01-01 00:02:48,,,,,,,
170,169,169,49,2,0,0,2,1,0,0001-01-01 00:02:49,,,,,,,
171,170,170,50,2,0,0,2,1,0,0001-01-01 00:02:50,,,,,,,
172,171,171,51,2,0,0,2,1,0,0001-01-01 00:02:51,,,,,,,
173,172,172,52,2,0,0,2,1,0,0001-01-01 00:02:52,,,,,,,
174,173,173,53,2,0,0,2,1,0,0001-01-01 00:02:53,,,,,,,
175,174,174,54,2,0,0,2,1,0,0001-01-01 00:02:54,,,,,,,
176,175,175,55,2,0,0,2,1,0,0001-01-01 00:02:55,,,,,,,
177,176,176,56,2,0,0,2,1,0,0001-01-01 00:02:56,,,,,,,
178,177,177,57,2,0,0,2,1,0,0001-01-01 00:02:57,,,,,,,
179,178,178,58,2,0,0,2,1,0,0001-01-01 00:02:58,,,,,,,
180,179,179,59,2,0,0,2,1,0,0001-01-01 00:02:59,,,,,,,
181,180,180,0,3,0,0,3,1,0,0001-01-01 00:03:00,,,,,,,
182,181,181,1,3,0,0,3,1,0,0001-01-01 00:03:01,,,,,,,
183,182,182,2,3,0,0,3,1,0,0001-01-01 00:03:02,,,,,,,
184,183,183,3,3,0,0,3,1,0,0001-01-01 00:03:03,,,,,,,
185,184,184,4,3,0,0,3,1,0,0001-01-01 00:03:04,,,,,,,
186,185,185,5,3,0,0,3,1,0,0001-01-01 00:03:05,,,,,,,
187,186,186,6,3,0,0,3,1,0,0001-01-01 00:03:06,,,,,,,
188,187,187,7,3,0,0,3,1,0,0001-01-01 00:03:07,,,,,,,
189,188,188,8,3,0,0,3,1,0,0001-01-01 00:03:08,,,,,,,
190,189,189,9,3,0,0,3,1,0,0001-01-01 00:03:09,,,,,,,
191,190,190,10,3,0,0,3,1,0,0001-01-01 00:03:10,,,,,,,
192,191,191,11,3,0,0,3,1,0,0001-01-01 00:03:11,,,,,,,
193,192,192,12,3,0,0,3,1,0,0001-01-01 00:03:12,,,,,,,
194,193,193,13,3,0,0,3,1,0,0001-01-01 00:03:13,,,,,,,
195,194,194,14,3,0,0,3,1,0,0001-01-01 00:03:14,,,,,,,
196,195,195,15,3,0,0,3,1,0,0001-01-01 00:03:15,,,,,,,
197,196,196,16,3,0,0,3,1,0,0001-01-01 00:03:16,,,,,,,
198,197,197,17,3,0,0,3,1,0,0001-01-01 00:03:17,,,,,,,
199,198,198,18,3,0,0,3,1,0,0001-01-01 00:03:18,,,,,,,
200,199,199,19,3,0,0,3,1,0,0001-01-01 00:03:19,,,,,,,
201,200,200,20,3,0,0,3,1,0,0001-01-01 00:03:20,,,,,,,
202,201,201,21,3,0,0,3,1,0,0001-01-01 00:03:21,,,,,,,
203,202,202,22,3,0,0,3,1,0,0001-01-01 00:03:22,,,,,,,
204,203,203,23,3,0,0,3,1,0,0001-01-01 00:03:23,,,,,,,
205,204,204,24,3,0,0,3,1,0,0001-01-01 00:03:24,,,,,,,
206,205,205,25,3,0,0,3,1,0,0001-01-01 00:03:25,,,,,,,
207,206,206,26,3,0,0,3,1,0,0001-01-01 00:03:26,,,,,,,
208,207,207,27,3,0,0,3,1,0,0001-01-01 00:03:27,,,,,,,
209,208,208,28,3,0,0,3,1,0,0001-01-01 00:03:28,,,,,,,
210,209,209,29,3,0,0,3,1,0,0001-01-01 00:03:29,,,,,,,
211,210,210,30,3,0,0,3,1,0,0001-01-01 00:03:30,,,,,,,
212,211,211,31,3,0,0,3,1,0,0001-01-01 00:03:31,,,,,,,
213,212,212,32,3,0,0,3,1,0,0001-01-01 00:03:32,,,,,,,
214,213,213,33,3,0,0,3,1,0,0001-01-01 00:03:33,,,,,,,
215,214,214,34,3,0,0,3,1,0,0001-01-01 00:03:34,,,,,,,
216,215,215,35,3,0,0,3,1,0,0001-01-01 00:03:35,,,,,,,
217,216,216,36,3,0,0,3,1,0,0001-01-01 00:03:36,,,,,,,
218,217,217,37,3,0,0,3,1,0,0001-01-01 00:03:37,,,,,,,
219,218,218,38,3,0,0,3,1,0,0001-01-01 00:03:38,,,,,,,
220,219,219,39,3,0,0,3,1,0,0001-01-01 00:03:39,,,,,,,
221,220,220,40,3,0,0,3,1,0,0001-01-01 00:03:40,,,,,,,
222,221,221,41,3,0,0,3,1,0,0001-01-01 00:03:41,,,,,,,
223,222,222,42,3,0,0,3,1,0,0001-01-01 00:03:42,,,,,,,
224,223,223,43,3,0,0,3,1,0,0001-01-01 00:03:43,,,,,,,
225,224,224,44,3,0,0,3,1,0,0001-01-01 00:03:44,,,,,,,
226,225,225,45,3,0,0,3,1,0,0001-01-01 00:03:45,,,,,,,
227,226,226,46,3,0,0,3,1,0,0001-01-01 00:03:46,,,,,,,
228,227,227,47,3,0,0,3,1,0,0001-01-01 00:03:47,,,,,,,
229,228,228,48,3,0,0,3,1,0,0001-01-01 00:03:48,,,,,,,
230,229,229,49,3,0,0,3,1,0,0001-01-01 00:03:49,,,,,,,
231,230,230,50,3,0,0,3,1,0,0001-01-01 00:03:50,,,,,,,
232,231,231,51,3,0,0,3,1,0,0001-01-01 00:03:51,,,,,,,
233,232,232,52,3,0,0,3,1,0,0001-01-01 00:03:52,,,,,,,
234,233,233,53,3,0,0,3,1,0,0001-01-01 00:03:53,,,,,,,
235,234,234,54,3,0,0,3,1,0,0001-01-01 00:03:54,,,,,,,
236,235,235,55,3,0,0,3,1,0,0001-01-01 00:03:55,,,,,,,
237,236,236,56,3,0,0,3,1,0,0001-01-01 00:03:56,,,,,,,
238,237,237,57,3,0,0,3,1,0,0001-01-01 00:03:57,,,,,,,
239,238,238,58,3,0,0,3,1,0,0001-01-01 00:03:58,,,,,,,
240,239,239,59,3,0,0,3,1,0,0001-01-01 00:03:59,,,,,,,
241,240,240,0,4,0,0,4,2,0,0001-01-01 00:04:00,,,,,,,
242,241,241,1,4,0,0,4,2,0,0001-01-01 00:04:01,,,,,,,
243,242,242,2,4,0,0,4,2,0,0001-01-01 00:04:02,,,,,,,
244,243,243,3,4,0,0,4,2,0,0001-01-01 00:04:03,,,,,,,
245,244,244,4,4,0,0,4,2,0,0001-01-01 00:04:04,,,,,,,
246,245,245,5,4,0,0,4,2,0,0001-01-01 00:04:05,,,,,,,
247,246,246,6,4,0,0,4,2,0,0001-01-01 00:04:06,,,,,,,
248,247,247,7,4,0,0,4,2,0,0001-01-01 00:04:07,,,,,,,
249,248,248,8,4,0,0,4,2,0,0001-01-01 00:04:08,,,,,,,
250,249,249,9,4,0,0,4,2,0,0001-01-01 00:04:09,,,,,,,
251,250,250,10,4,0,0,4,2,0,0001-01-01 00:04:10,,,,,,,
252,251,251,11,4,0,0,4,2,0,0001-01-01 00:04:11,,,,,,,
253,252,252,12,4,0,0,4,2,0,0001-01-01 00:04:12,,,,,,,
254,253,253,13,4,0,0,4,2,0,0001-01-01 00:04:13,,,,,,,
255,254,254,14,4,0,0,4,2,0,0001-01-01 00:04:14,,,,,,,
256,255,255,15,4,0,0,4,2,0,0001-01-01 00:04:15,,,,,,,
257,256,256,16,4,0,0,4,2,0,0001-01-01 00:04:16,,,,,,,
258,257,257,17,4,0,0,4,2,0,0001-01-01 00:04:17,,,,,,,
259,258,258,18,4,0,0,4,2,0,0001-01-01 00:04:18,,,,,,,
260,259,259,19,4,0,0,4,2,0,0001-01-01 00:04:19,,,,,,,
261,260,260,20,4,0,0,4,2,0,0001-01-01 00:04:20,,,,,,,
262,261,261,21,4,0,0,4,2,0,0001-01-01 00:04:21,,,,,,,
263,262,262,22,4,0,0,4,2,0,0001-01-01 00:04:22,,,,,,,
264,263,263,23,4,0,0,4,2,0,0001-01-01 00:04:23,,,,,,,
265,264,264,24,4,0,0,4,2,0,0001-01-01 00:04:24,,,,,,,
266,265,265,25,4,0,0,4,2,0,0001-01-01 00:04:25,,,,,,,
267,266,266,26,4,0,0,4,2,0,0001-01-01 00:04:26,,,,,,,
268,267,267,27,4,0,0,4,2,0,0001-01-01 00:04:27,,,,,,,
269,268,268,28,4,0,0,4,2,0,0001-01-01 00:04:28,,,,,,,
270,269,269,29,4,0,0,4,2,0,0001-01-01 00:04:29,,,,,,,
271,270,270,30,4,0,0,4,2,0,0001-01-01 00:04:30,,,,,,,
272,271,271,31,4,0,0,4,2,0,0001-01-01 00:04:31,,,,,,,
273,272,272,32,4,0,0,4,2,0,0001-01-01 00:04:32,,,,,,,
274,273,273,33,4,0,0,4,2,0,0001-01-01 00:04:33,,,,,,,
275,274,274,34,4,0,0,4,2,0,0001-01-01 00:04:34,,,,,,,
276,275,275,35,4,0,0,4,2,0,0001-01-01 00:04:35,,,,,,,
277,276,276,36,4,0,0,4,2,0,0001-01-01 00:04:36,,,,,,,
278,277,277,37,4,0,0,4,2,0,0001-01-01 00:04:37,,,,,,,
279,278,278,38,4,0,0,4,2,0,0001-01-01 00:04:38,,,,,,,
280,279,279,39,4,0,0,4,2,0,0001-01-01 00:04:39,,,,,,,
281,280,280,40,4,0,0,4,2,0,0001-01-01 00:04:40,,,,,,,
282,281,281,41,4,0,0,4,2,0,0001-01-01 00:04:41,,,,,,,
283,282,282,42,4,0,0,4,2,0,0001-01-01 00:04:42,,,,,,,
284,283,283,43,4,0,0,4,2,0,0001-01-01 00:04:43,,,,,,,
285,284,284,44,4,0,0,4,2,0,0001-01-01 00:04:44,,,,,,,
286,285,285,45,4,0,0,4,2,0,0001-01-01 00:04:45,,,,,,,
287,286,286,46,4,0,0,4,2,0,0001-01-01 00:04:46,,,,,,,
288,287,287,47,4,0,0,4,2,0,0001-01-01 00:04:47,,,,,,,
289,288,288,48,4,0,0,4,2,0,0001-01-01 00:04:48,,,,,,,
290,289,289,49,4,0,0,4,2,0,0001-01-01 00:04:49,,,,,,,
291,290,290,50,4,0,0,4,2,0,0001-01-01 00:04:50,,,,,,,
292,291,291,51,4,0,0,4,2,0,0001-01-01 00:04:51,,,,,,,
293,292,292,52,4,0,0,4,2,0,0001-01-01 00:04:52,,,,,,,
294,293,293,53,4,0,0,4,2,0,0001-01-01 00:04:53,,,,,,,
295,294,294,54,4,0,0,4,2,0,0001-01-01 00:04:54,,,,,,,
296,295,295,55,4,0,0,4,2,0,0001-01-01 00:04:55,,,,,,,
297,296,296,56,4,0,0,4,2,0,0001-01-01 00:04:56,,,,,,,
298,297,297,57,4,0,0,4,2,0,0001-01-01 00:04:57,,,,,,,
299,298,298,58,4,0,0,4,2,0,0001-01-01 00:04:58,,,,,,,
300,299,299,59,4,0,0,4,2,0,0001-01-01 00:04:59,,,,,,,
301,300,300,0,5,0,1,5,2,0,0001-01-01 00:05:00,,,,,,,
302,301,301,1,5,0,1,5,2,0,0001-01-01 00:05:01,,,,,,,
303,302,302,2,5,0,1,5,2,0,0001-01-01 00:05:02,,,,,,,
304,303,303,3,5,0,1,5,2,0,0001-01-01 00:05:03,,,,,,,
305,304,304,4,5,0,1,5,2,0,0001-01-01 00:05:04,,,,,,,
306,305,305,5,5,0,1,5,2,0,0001-01-01 00:05:05,,,,,,,
307,306,306,6,5,0,1,5,2,0,0001-01-01 00:05:06,,,,,,,
308,307,307,7,5,0,1,5,2,0,0001-01-01 00:05:07,,,,,,,
309,308,308,8,5,0,1,5,2,0,0001-01-01 00:05:08,,,,,,,
310,309,309,9,5,0,1,5,2,0,0001-01-01 00:05:09,,,,,,,
311,310,310,10,5,0,1,5,2,0,0001-01-01 00:05:10,,,,,,,
312,311,311,11,5,0,1,5,2,0,0001-01-01 00:05:11,,,,,,,
313,312,312,12,5,0,1,5,2,0,0001-01-01 00:05:12,,,,,,,
314,313,313,13,5,0,1,5,2,0,0001-01-01 00:05:13,,,,,,,
315,314,314,14,5,0,1,5,2,0,0001-01-01 00:05:14,,,,,,,
316,315,315,15,5,0,1,5,2,0,0001-01-01 00:05:15,,,,,,,
317,316,316,16,5,0,1,5,2,0,0001-01-01 00:05:16,,,,,,,
318,317,317,17,5,0,1,5,2,0,0001-01-01 00:05:17,,,,,,,
319,318,318,18,5,0,1,5,2,0,0001-01-01 00:05:18,,,,,,,
320,319,319,19,5,0,1,5,2,0,0001-01-01 00:05:19,,,,,,,
321,320,320,20,5,0,1,5,2,0,0001-01-01 00:05:20,,,,,,,
322,321,321,21,5,0,1,5,2,0,0001-01-01 00:05:21,,,,,,,
323,322,322,22,5,0,1,5,2,0,0001-01-01 00:05:22,,,,,,,
324,323,323,23,5,0,1,5,2,0,0001-01-01 00:05:23,,,,,,,
325,324,324,24,5,0,1,5,2,0,0001-01-01 00:05:24,,,,,,,
326,325,325,25,5,0,1,5,2,0,0001-01-01 00:05:25,,,,,,,
327,326,326,26,5,0,1,5,2,0,0001-01-01 00:05:26,,,,,,,
328,327,327,27,5,0,1,5,2,0,0001-01-01 00:05:27,,,,,,,
329,328,328,28,5,0,1,5,2,0,0001-01-01 00:05:28,,,,,,,
330,329,329,29,5,0,1,5,2,0,0001-01-01 00:05:29,,,,,,,
331,330,330,30,5,0,1,5,2,0,0001-01-01 00:05:30,,,,,,,
332,331,331,31,5,0,1,5,2,0,0001-01-01 00:05:31,,,,,,,
333,332,332,32,5,0,1,5,2,0,0001-01-01 00:05:32,,,,,,,
334,333,333,33,5,0,1,5,2,0,0001-01-01 00:05:33,,,,,,,
335,334,334,34,5,0,1,5,2,0,0001-01-01 00:05:34,,,,,,,
336,335,335,35,5,0,1,5,2,0,0001-01-01 00:05:35,,,,,,,
337,336,336,36,5,0,1,5,2,0,0001-01-01 00:05:36,,,,,,,
338,337,337,37,5,0,1,5,2,0,0001-01-01 00:05:37,,,,,,,
339,338,338,38,5,0,1,5,2,0,0001-01-01 00:05:38,,,,,,,
340,339,339,39,5,0,1,5,2,0,0001-01-01 00:05:39,,,,,,,
341,340,340,40,5,0,1,5,2,0,0001-01-01 00:05:40,,,,,,,
